pid	ppid	status_name	stat_comm	user	kthread	state	policy	priority	nice	threads	rss_kb	vsz_kb	pss_kb	socket_count	fd_devices	exe	cmdline	cgroup
30	2	migration/1	migration/1	root	1		FF	139	-	1	0	0						
31	2	rcuc/1	rcuc/1	root	1		FF	41	-	1	0	0						
32	2	ktimers/1	ktimers/1	root	1		FF	41	-	1	0	0						
33	2	ksoftirqd/1	ksoftirqd/1	root	1		TS	19	0	1	0	0						
34	2	kworker/1:0-events	kworker/1:0-events	root	1		TS	19	0	1	0	0						
35	2	kworker/1:0H-events_highpri	kworker/1:0H-events_highpri	root	1		TS	39	-20	1	0	0						
36	2	rcuop/1	rcuop/1	root	1		FF	41	-	1	0	0						
37	2	cpuhp/2	cpuhp/2	root	1		TS	19	0	1	0	0						
38	2	idle_inject/2	idle_inject/2	root	1		FF	90	-	1	0	0						
39	2	irq_work/2	irq_work/2	root	1		FF	41	-	1	0	0						
40	2	migration/2	migration/2	root	1		FF	139	-	1	0	0						
41	2	rcuc/2	rcuc/2	root	1		FF	41	-	1	0	0						
42	2	ktimers/2	ktimers/2	root	1		FF	41	-	1	0	0						
43	2	ksoftirqd/2	ksoftirqd/2	root	1		TS	19	0	1	0	0						
45	2	kworker/2:0H-kblockd	kworker/2:0H-kblockd	root	1		TS	39	-20	1	0	0						
46	2	rcuop/2	rcuop/2	root	1		FF	41	-	1	0	0						
47	2	cpuhp/3	cpuhp/3	root	1		TS	19	0	1	0	0						
48	2	idle_inject/3	idle_inject/3	root	1		FF	90	-	1	0	0						
49	2	irq_work/3	irq_work/3	root	1		FF	41	-	1	0	0						
50	2	migration/3	migration/3	root	1		FF	139	-	1	0	0						
51	2	rcuc/3	rcuc/3	root	1		FF	41	-	1	0	0						
52	2	ktimers/3	ktimers/3	root	1		FF	41	-	1	0	0						
53	2	ksoftirqd/3	ksoftirqd/3	root	1		TS	19	0	1	0	0						
55	2	kworker/3:0H-events_highpri	kworker/3:0H-events_highpri	root	1		TS	39	-20	1	0	0						
56	2	rcuop/3	rcuop/3	root	1		FF	41	-	1	0	0						
57	2	cpuhp/4	cpuhp/4	root	1		TS	19	0	1	0	0						
58	2	idle_inject/4	idle_inject/4	root	1		FF	90	-	1	0	0						
59	2	irq_work/4	irq_work/4	root	1		FF	41	-	1	0	0						
60	2	migration/4	migration/4	root	1		FF	139	-	1	0	0						
61	2	rcuc/4	rcuc/4	root	1		FF	41	-	1	0	0						
62	2	ktimers/4	ktimers/4	root	1		FF	41	-	1	0	0						
63	2	ksoftirqd/4	ksoftirqd/4	root	1		TS	19	0	1	0	0						
64	2	kworker/4:0-rcu_gp	kworker/4:0-rcu_gp	root	1		TS	19	0	1	0	0						
65	2	kworker/4:0H-kblockd	kworker/4:0H-kblockd	root	1		TS	39	-20	1	0	0						
66	2	rcuog/4	rcuog/4	root	1		FF	41	-	1	0	0						
67	2	rcuop/4	rcuop/4	root	1		FF	41	-	1	0	0						
68	2	cpuhp/5	cpuhp/5	root	1		TS	19	0	1	0	0						
69	2	idle_inject/5	idle_inject/5	root	1		FF	90	-	1	0	0						
70	2	irq_work/5	irq_work/5	root	1		FF	41	-	1	0	0						
71	2	migration/5	migration/5	root	1		FF	139	-	1	0	0						
72	2	rcuc/5	rcuc/5	root	1		FF	41	-	1	0	0						
